AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N1,N2,Len,Voc,Vol,Dif,Eff,AllocOps,DeallocOps,DerefUse,UniqueDerefUse,DerefSet,UniqueDerefSet,AgingRelatedBugs
3,18,1,408,1966,278,4.428571429,3.857142857,4.428571429,2,22,3,18,1,0,0,0,0,0,0,81.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,323,1470,399,867,239,542,91,0,0,808.1428571,1036.714286,239.2857143,0,797.4285714,0,0,0,0,0,29,29,37,16,0,4.428571429,0,0,0.16,329.4285714,0,0,208.1428571,1009,1446,5671,4066,9737,2455,59527,1171,3686250,1,1,180,73,32,14,0
1,14,0,45,219,35,2,2,2,1,16,1,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,297,45,207,93,71,35,0,12,0,0,125,122,44,0,78,0,0,0,0,0,4,4,4,4,0,2,0,0,0.17,32,0,0,19,189,163,559,389,948,352,4459,231,77613,1,1,10,4,3,3,0
7,69,4,15,88,34,17,15,17,6,80,7,69,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137,15,70,12,49.57142857,34,0,18,0,0,40,55,9,0,46,0,0,0,0,0,17,15,17,6,0,2.857142857,0,0,0.49,17,0,0,6,26,49,183,137,320,75,1993,36,71748,0,0,14,4,2,2,0
5,40,3,28,161,45,8,8,9,5,46,5,38,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,225,28,123,28,89,45,6,36,0,0,79,102,17,0,85,0,0,0,0,0,20,19,21,12,0,2,0,0,0.37,25,0,0,17,49,99,420,282,702,148,4407,62,172561,0,0,17,3,0,0,0
7,59,2,136,877,60,5,5,6,3,68,7,52,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,135,751,305,573,58,71,57,0,0,422,474.4285714,101.4285714,1,372,0,0,0,0,0,17,17,20,7,0,3,0,0,0.08,73,0,0,46,254,950,3391,2799,6190,1204,44039,352,1837987,1,5,103,38,6,2,0
0,0,0,69,295,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,6,0,0,0,32,342,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,26,114,34,2.428571429,2.428571429,2.857142857,1,10,1,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,174,15,59,19.42857143,30,31,63,6,0,0,32.42857143,44.71428571,13,0,31.71428571,0,0,0,0,0,5,5,6,1.857142857,0,2.428571429,0,0,0.53,16,0,0,6.857142857,69,63,165,113,278,132,1249,59,13036,3,2,5,4,3,3,0
7,51,6,54,321,57,6,6,7,5,60,7,41,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,418,34,127,25,88,52,172,62,0,0,87,101,18,0,83,0,0,0,0,0,13,13,15,11,0,2,0,0,0.41,19,0,0,15,60,88,411,303,714,148,4359,99,238531,2,4,16,6,15,4,0
2,19,0,118,716,57,4.428571429,3.857142857,4.857142857,2,21,2,17,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,890,70,351,118,193.2857143,36,379,74,0,0,177.2857143,240.5714286,52.71428571,0,187.8571429,0,0,0,0,0,9.857142857,9,9.857142857,5.428571429,0,3.428571429,0,0,0.1,88.42857143,0,0,42.57142857,261,334,960,685,1645,595,8388,259,136366,0,0,28,14,4,2,0
0,0,0,128,578,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,4,1,1,0,33,712,37,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.571428571,22,2,241,1130,212,5.714285714,5.714285714,6.714285714,2.428571429,27,3,21,1.571428571,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1583,230,973,194.8571429,590.1428571,204,114,66,0,0,595.7142857,783.4285714,100.1428571,18.85714286,664.4285714,0,0,0,0,0,40.85714286,35.85714286,44.85714286,19,0,4.428571429,0,0,0.21,278.7142857,0,0,139.2857143,596,877,2818,2151,4969,1473,27059,647,678852,27,0,269,54,37,17,0
8,60.57142857,5,566,3743,537,14,11,15,6,72.57142857,7.571428571,53.57142857,4,0,0,0,0,0,0,59.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,4799,539,3262,627.4285714,2286.571429,500,426,135,0,0,1733,2445.428571,325,10.85714286,2109.571429,0,0,0,0,0,59,42.42857143,62.42857143,36,0,5.428571429,0,0,0.15,835.4285714,0,0,399.7142857,1216,3529,23663,16310,39973,4745,315282,2091,40779215,45,0,817,168,143,59,0
6,41,5,492,2793.571429,430,7.571428571,7.571428571,8,3,53,6,34,4,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3702.571429,451,2081.285714,452.7142857,1353.571429,372,595.2857143,260,0,0,1149.142857,1429.857143,206.8571429,14.57142857,1208.428571,0,0,0,0,0,56.85714286,48.85714286,58.85714286,31,0,4.857142857,0,0,0.18,452.4285714,0,0,212.8571429,891,1870.142857,7062.857143,5416.714286,12479.57143,2761.142857,77298.57143,1165.571429,3014840.286,0,0,476.1428571,103,84,29,0
25,143,17,193,1057,204,23.14285714,20.14285714,24.14285714,14,185,20,76,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,160,531,61,421.1428571,171,419,184,0,0,303.5714286,438.5714286,30,12.57142857,396,0,0,0,0,0,47,39,48,31,0,3.428571429,0,0,0.32,162,0,0,102,179,643,2601,2073,4674,822,32967,271,1462473,0,0,171,16,19,7,0
18,108,11,182,1020,195,19.28571429,16.28571429,19.28571429,11,137,16,64,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1394,165,577,70,448.4285714,176,323,172,0,0,325.1428571,469.5714286,36,10.14285714,423.4285714,0,0,0,0,0,28.71428571,24.42857143,29.71428571,20,0,3.428571429,0,0,0.31,171.8571429,0,0,107,217,650,2476,1932,4408,867,29522,310,1100961,0,0,173,18,22,9,0
8,49,3,321,1738.142857,137,11.14285714,8.571428571,11.57142857,3,60,8,46,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2194.142857,295,1403.142857,300,958,125,277,106,0,0,821.7142857,1052,156,1.714285714,894.2857143,0,0,0,0,0,50.57142857,40.85714286,50.57142857,16,0,4.428571429,0,0,0.09,332,0,0,115,583,1158.142857,4334.285714,3182.142857,7516.428571,1741.142857,47330,746,1796913,35,0,240,73,66,25,1
9,42,3,59,252,47,8.714285714,8.714285714,8.714285714,5,54,9,42,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,356,59,212,54,138.7142857,47,4,40,0,0,143.2857143,169.5714286,36,0,133.5714286,0,0,0,0,0,18.42857143,18.42857143,19.42857143,11,0,4,0,0,0.22,42.57142857,0,0,26,99,143,651,457,1108,242,6486,151,260040,0,0,55,16,15,7,0
13,82,9,234,1364.571429,305,14.42857143,12.42857143,14.42857143,8,103.5714286,12,50,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1900.571429,218,810,123,598.5714286,293,374.5714286,217,0,0,464.4285714,645.8571429,68.28571429,13.42857143,564.1428571,0,0,0,0,0,44.28571429,34.28571429,46.28571429,25,0,3.428571429,0,0,0.36,226.7142857,0,0,141,384,1340.571429,9177.428571,7200.714286,16378.14286,1724.571429,126357.4286,729.4285714,15496263.71,4,0,257,33,31,14,1
11,68,9,221,1164,235,13.42857143,12.85714286,14.85714286,6,87,10,63,9,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,176,882,190.7142857,621.8571429,202,285,81,0,0,555.2857143,675.5714286,101,3.142857143,571.4285714,0,0,0,0,0,42.71428571,37.71428571,46.71428571,21,0,3.857142857,0,0,0.23,188,0,0,92,312,793,2992,2287,5279,1105,34371,431,1383486,0,27,258,63,63,12,0
21,133,10,30,159,43,1,1,1,1,164,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,232,9,7,4,1,33,155,28,0,0,3,2,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,4.71,1,0,0,1,30,78,400,299,699,108,4721,57,269097,0,0,0,0,0,0,0
18,102,16,346,1893,389,22.28571429,21.28571429,24.85714286,11,134,16,87,15,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,326,1563,244.1428571,1166.857143,360,270,118,0,0,900.4285714,1213.571429,143.5714286,6.285714286,1063.714286,0,0,0,0,0,66,61.57142857,70,35,0,4.857142857,0,0,0.23,402,0,0,206,403,1445,9810,7643,17453,1848,133400,816,17227660,4,0,458,71,55,18,0
8,44,3,65,313,49,9.285714286,6.285714286,9.285714286,3,56,8,44,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,426,65,267,65,186.2857143,49,5,46,0,0,153.8571429,195.7142857,36,3,156.7142857,0,0,0,0,0,23.14285714,14.14285714,23.14285714,15,0,3.428571429,0,0,0.18,57.71428571,0,0,23,127,205,776,541,1317,332,7853,171,243862,5,0,35,14,8,7,0
8,46,3,244,1467.285714,125,10,8.571428571,10.57142857,5,57,8,44,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1835.285714,154,656.2857143,117,455.2857143,71,876,88,0,0,360.4285714,478.4285714,69.42857143,2.714285714,406.2857143,0,0,0,0,0,29.57142857,25.57142857,31.57142857,18,0,4.857142857,0,0,0.11,153,0,0,76,285.1428571,519.2857143,1969.285714,1390.714286,3360,804.4285714,20561,361.1428571,796726.1429,12.333333,4,113.5714286,37,38,17,1
3,17,1,36,159,38,3,3,3,2,21,3,17,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,233,36,108,34,59,38,4,51,0,0,62,73,20,0,53,0,0,0,0,0,9,9,10,8,0,2,0,0,0.35,18,0,0,15,88,100,307,205,512,188,2702,86,59845,0,0,5,3,2,1,0
2,16,1,53,289,66,3.428571429,3.428571429,3.428571429,1,18,2,16,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,402,52,235,66,138.8571429,61,29,31,0,0,126.4285714,161.8571429,31,3.428571429,127.4285714,0,0,0,0,0,17.57142857,17.57142857,20.57142857,10,0,4.857142857,0,0,0.26,50,0,0,23,158,206,586,429,1015,364,5434,162,129521,0,0,35,16,31,9,0
2,18,1,37,181,47,4,4,4,2,20,2,18,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,262,32,125,33,74,47,38,27,0,0,78,95,17,0,78,0,0,0,0,0,6,6,6,4,0,3,0,0,0.38,25,0,0,18,106,117,389,285,674,223,3401,126,72726,0,0,36,7,6,2,0
4,53,8,31,254,70,7.857142857,4.857142857,7.857142857,1,64,4,36,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,349,31,148,21,128.2857143,70,29,78,0,0,70.71428571,95.42857143,13,0,82.42857143,0,0,0,0,0,16,11.42857143,16.42857143,1,0,2.857142857,0,0,0.47,29.42857143,0,0,4,46,162,292,233,525,208,3158,35,45269,0,0,2,1,0,0,0
2,13,0,26,113,44,3,3,3,1,15,2,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,182,23,78,28,37,44,20,18,0,0,41,48,13,0,35,0,0,0,0,0,4,4,5,1,0,2,0,0,0.56,16,0,0,6,87,60,213,153,366,147,1734,110,38290,0,0,10,2,2,1,0
4,65,3,39,413,49,5,5,6,1,71,4,62,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,496,30,246,30,199,32,161,33,0,0,160,179,25,4,150,0,0,0,0,0,13,13,17,1,0,3,0,0,0.13,19,0,0,4,81,122,2082,1305,3387,203,19600,404,2275448,0,0,186,10,79,7,0
6,60,3,52,400,55,9,8,13,5,66,6,53,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,494,45,315,22,246,42,76,36,0,0,224,284,18,0,266,0,0,0,0,0,14,13,18,12,0,3,0,0,0.13,56,0,0,34,167,203,2016,1429,3445,370,21130,595,3306429,0,0,164,21,52,9,0
2,15,2,156,820,261,2,2,2,1,19,2,14,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,124,563,211,431,239,209,153,0,0,334,399,78,20,301,0,0,0,0,0,10,10,10,4,0,4,0,0,0.42,69,0,0,36,416,415,1650,1262,2912,831,15649,564,632843,0,0,105,35,23,12,0
1,10,0,5,13,29,2,2,2,1,11,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5,10,4,4,29,0,3,0,0,5,6,2,0,4,0,0,0,0,0,2,2,2,1,0,1,0,0,2.9,2,0,0,1,11,7,24,14,38,18,158,11,1738,0,0,0,0,0,0,0
3,22,2,78,420,61,4.857142857,3.857142857,4.857142857,2,27,3,18.57142857,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,553,78,322,67.57142857,222.1428571,61,32,68,0,0,178.8571429,250,42.57142857,0,207.4285714,0,0,0,0,0,14.71428571,11.85714286,15.14285714,6,0,2.857142857,0,0,0.19,80.57142857,0,0,39.42857143,234,372,1077,818,1895,606,10498,236,215588,0,0,58,18,32,4,0
8,59,4,401,2471,351,13.85714286,12.28571429,14.85714286,5,71,8,53,4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,388,2123,312,1546.714286,343,242,136,0,0,1358.857143,1751.714286,194,10,1547.714286,0,0,0,0,0,64.71428571,54,66.71428571,30,0,5.428571429,0,0,0.16,560,0,0,229,761,1529,7093,5531,12624,2290,79902,1278,4340334,31,0,690,100,58,25,0
4,32,1,336,1949,394,5,4,6,3,37.42857143,4,29,1,0,0,0,0,0,0,52.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,297,1552,372.7142857,1033.285714,375,377,91,0,0,803,1096.142857,192.1428571,4,900,0,0,0,0,0,31,26,33,27,0,3,0,0,0.24,278.2857143,0,0,200.1428571,695,2455,13777,10648,24425,3150,200585,1042,27948306,22,0,439,100,83,24,0
3,25,1,43,221,43,4.428571429,4,5,1,29,3,25,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,307,43,197,34,141.5714286,43,1,24,0,0,118.4285714,154.8571429,26,0,128.8571429,0,0,0,0,0,20,16,20,3,0,3,0,0,0.22,35.85714286,0,0,10,112,208,593,461,1054,320,5952,118,122880,1,0,24,7,1,1,0
3,23,1,42,213,41,4.428571429,4.428571429,5,1,27,3,22,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,295,42,175,59,108,41,6,36,0,0,99.71428571,125,33,0.428571429,91.57142857,0,0,0,0,0,9,8,11,1,0,3,0,0,0.23,32.14285714,0,0,7,124,156,524,355,879,280,5104,140,173336,0,0,15,8,5,3,0
3,21,0,71,373,54,3.857142857,3.857142857,4.857142857,2,24,3,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,498,60,249,69.28571429,153,53,93,46,0,0,150,193.1428571,31.28571429,0,161.8571429,0,0,0,0,0,15.85714286,15.85714286,19.85714286,8,0,2.428571429,0,0,0.21,58.28571429,0,0,38,184,219,937,691,1628,403,8766,252,295038,15,0,62,13,2,1,0
14,66,6,311,1361,155,12.42857143,12.42857143,13.42857143,8,85,12,57,6,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,223,939,171,627.7142857,148,479,42,0,0,582.5714286,724.1428571,114,1,609.1428571,0,0,0,0,0,95.57142857,89.57142857,103.5714286,56,0,4.428571429,0,0,0.16,199.1428571,0,0,133,322,639,3452,2448,5900,961,40409,504,3414417,0,0,134,26,49,13,0
6,41,4,164,988,145,8.714285714,8.142857143,9.142857143,4,50,6,38,3,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,159,865,123,562.7142857,141,84,49,0,0,486.2857143,636.5714286,62,3,571.5714286,0,0,0,0,0,60.71428571,55.71428571,65.71428571,33,0,5.428571429,0,0,0.16,204.5714286,0,0,100,359,568,2685,2062,4747,927,29656,548,1892712,31,0,261,50,81,22,0
6,33,2,230,1191,114,7.428571429,6.428571429,7.428571429,3,41,6,33,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1529,226,1102,342,772,109,40.42857143,62,0,0,619.2857143,811.2857143,182.4285714,5.428571429,623.4285714,0,0,0,0,0,24.28571429,22.14285714,24.28571429,13,0,5.428571429,0,0,0.1,218,0,0,92,937,4404,21884,14091,35975,5341,291587,1380,22317047,0,0,221,78,64,22,0
4,26,1,180,986,97,6.714285714,6.714285714,7.714285714,2,30,4,24,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,179,871,181.7142857,553.5714286,96,55,62,0,0,504.2857143,672.5714286,93.85714286,5.285714286,573.4285714,0,0,0,0,0,47.14285714,46.28571429,54,15,0,4.428571429,0,0,0.11,238.2857143,0,0,95.14285714,468,755,2664,2081,4745,1223,27319,585,852268,171,1,309,47,78,15,0
3,15,0,51,190,34,3.857142857,3.857142857,3.857142857,1,18,3,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,275,51,168,44,96.42857143,34,0.857142857,22,0,0,84,123,29,0,94,0,0,0,0,0,12,12,12,8,0,2.857142857,0,0,0.2,43,0,0,20,136,169,513,383,896,305,4453,150,88468,25,6,53,10,9,3,0
6,38,3,12,48,33,10.42857143,10.42857143,11.42857143,7,47,6,38,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,12,38,6,22.85714286,33,0,10,0,0,17.71428571,25.42857143,3,0,22.42857143,0,0,0,0,0,10.42857143,10.42857143,11.42857143,7,0,2.857142857,0,0,0.87,10.42857143,0,0,7,22,25,102,65,167,47,927,28,25956,0,0,0,0,0,0,0
4,16,2,78,265,73,3.428571429,3.428571429,4.428571429,1,22,4,15,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,416,78,234,53,139.8571429,73,2,29,0,0,125.1428571,170.1428571,32.42857143,1,136.7142857,0,0,0,0,0,19,19,21,10.42857143,0,3.857142857,0,0,0.31,58.42857143,0,0,28.42857143,158,167,587,423,1010,325,5084,183,121879,22,0,33,9,4,3,0
3,18,0,47,212,52,3,3,3,1,21.57142857,2.571428571,16,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,311,33,110,36,59,50,89.85714286,33,0,0,75.42857143,85.28571429,20.28571429,0,65,0,0,0,0,0,6,6,6,5,0,2.428571429,0,0,0.45,20.14285714,0,0,13,98,112,353,251,604,210,3151,104,65336,5,0,15,8,13,5,0
4,38,3,32,173,63,7.571428571,7.571428571,7.571428571,4,45,4,38,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,265,32,152,43,102.4285714,63,0,21,0,0,91.71428571,113.4285714,23,0,90.42857143,0,0,0,0,0,15.28571429,15.28571429,15.28571429,10,0,3.857142857,0,0,0.41,30.42857143,0,0,18,58,111,486,357,843,169,4909,89,195148,0,0,31,11,4,2,0
6,29,4,88,375,78,5.857142857,5.285714286,6.285714286,2,38.57142857,6,23.57142857,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,540,88,261,62.57142857,172.2857143,70,39,86,0,0,164.1428571,214.5714286,41,1.857142857,171.7142857,0,0,0,0,0,23.42857143,23.42857143,23.42857143,7.428571429,0,4.285714286,0,0,0.27,58.71428571,0,0,24.42857143,151,282,739,523,1262,433,7700,135,212573,0,0,12,4,6,2,0
5,43.42857143,2,114,815,93,7.142857143,7.142857143,7.571428571,3,49.85714286,4,31,2,0,0,0,0,0,0,17.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,97,550,134.1428571,338.2857143,82,221,73,0,0,326.2857143,410.2857143,80.57142857,3.857142857,325.8571429,0,0,0,0,0,22.42857143,23.42857143,23.42857143,11,0,4.428571429,0,0,0.15,121.5714286,0,0,59.57142857,338,574,2441,1730,4171,912,26217,433,1220928,6,3,53,19,11,7,0
4.428571429,38.14285714,0,16,73,37,7.857142857,7.857142857,8.285714286,4.285714286,42.57142857,4.428571429,38.14285714,0,0,0,0,0,0,0,1.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,126,16,65,20.57142857,34.42857143,37,0,8,0,0,45,59.85714286,23,1,35.85714286,0,0,0,0,0,9,9,10,6,0,3,0,0,0.57,11.28571429,0,0,6.571428571,42,41,204,132,336,83,1807,67,63345,7,0,8,2,4,2,0
0,14,0,82,918,38,4,3,4,3,14,0,14,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,78,798,447,576,36,87,43,0,0,274,413.1428571,99.14285714,0,314,0,0,0,0,0,35,14,35,30,0,3,0,0,0.05,153,0,0,126,463,379,1162,747,1909,842,8847,452,105865,0,0,64,30,0,0,0
